seed,window_size,send_max_try,request_count,simulation_duration_s,simulator_accuracy,node_count,edge_probability,memory_size,query_time_s,link_rate_pairs_s,link_delay_s,link_buffer,algorithm,congestion_history_weight,smoothing_epsilon,mean_request_throughput_pairs_s,total_edr_pairs_s,completed_pairs,dropped_pairs,in_flight_pairs,request_edrs_pairs_s,edr_cv,topology_signature,request_pairs,mean_signal_gap,mean_abs_signal_gap
303,1,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.133333,0.133333
101,1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.180000,0.180000
101,1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.112500,0.112500
202,1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,12,19.500000;19.500000;19.600000;19.500000;19.500000,0.002049,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.166667,0.166667
202,1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,12,19.500000;19.500000;19.600000;19.500000;19.500000,0.002049,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.133333,0.133333
303,1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.160000,0.160000
303,1,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,19.520000,97.600000,976,0,10,19.500000;19.500000;19.500000;19.500000;19.600000,0.002049,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.133333,0.133333
101,2,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,38.960000,194.800000,1948,0,20,38.900000;38.900000;38.900000;39.000000;39.100000,0.002053,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.380000,0.380000
101,2,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,38.960000,194.800000,1948,0,20,38.900000;38.900000;38.900000;39.000000;39.100000,0.002053,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.380000,0.380000
202,2,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,36.400000,182.000000,1820,130,24,32.500000;38.900000;39.100000;32.500000;39.000000,0.087499,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.268254,0.268254
202,2,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,36.400000,182.000000,1820,130,24,32.500000;38.900000;39.100000;32.500000;39.000000,0.087499,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.268254,0.268254
303,2,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,38.960000,194.800000,1948,0,20,39.000000;38.900000;38.900000;38.900000;39.100000,0.002053,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.350000,0.350000
303,2,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,38.960000,194.800000,1948,0,20,39.000000;38.900000;38.900000;38.900000;39.100000,0.002053,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.350000,0.350000
101,2,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,38.960000,194.800000,1948,0,20,38.900000;38.900000;38.900000;39.000000;39.100000,0.002053,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.380000,0.380000
101,2,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,38.960000,194.800000,1948,0,20,38.900000;38.900000;38.900000;39.000000;39.100000,0.002053,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.243750,0.243750
202,2,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,38.720000,193.600000,1936,2,24,38.300000;38.900000;39.100000;38.300000;39.000000,0.009006,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.362500,0.362500
202,2,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,38.240000,191.200000,1912,0,24,37.100000;38.900000;39.100000;37.200000;38.900000,0.023366,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.239130,0.239130
303,2,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,38.960000,194.800000,1948,0,20,39.000000;38.900000;38.900000;38.900000;39.100000,0.002053,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.350000,0.350000
303,2,2,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,38.960000,194.800000,1948,0,20,39.000000;38.900000;38.900000;38.900000;39.100000,0.002053,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.291667,0.291667
101,2,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,38.960000,194.800000,1948,0,20,38.900000;38.900000;38.900000;39.000000;39.100000,0.002053,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.380000,0.380000
101,2,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,38.960000,194.800000,1948,0,20,38.900000;38.900000;38.900000;39.000000;39.100000,0.002053,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.243750,0.243750
202,2,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,38.520000,192.600000,1926,0,24,37.800000;38.900000;39.100000;37.800000;39.000000,0.015350,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.350000,0.350000
202,2,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,39.000000,195.000000,1950,0,24,39.000000;38.900000;39.100000;39.000000;39.000000,0.001622,8811bf5b22ad,n42->n6;n7->n50;n18->n10;n47->n46;n6->n11,0.225000,0.225000
303,2,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,38.960000,194.800000,1948,0,20,39.000000;38.900000;38.900000;38.900000;39.100000,0.002053,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.350000,0.350000
303,2,3,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,real_time_memory_aware,0.500000,0.500000,38.960000,194.800000,1948,0,20,39.000000;38.900000;38.900000;38.900000;39.100000,0.002053,9ada2f3a47de,n42->n14;n39->n1;n37->n28;n24->n31;n36->n28,0.291667,0.291667
101,3,1,5,10.000000,1000,50,0.100000,10,0.050000,1000.000000,0.001000,1,historical_only,1.000000,0.500000,52.340000,261.700000,2617,358,30,58.200000;57.400000;58.300000;29.200000;58.600000,0.221185,7e7b3091ef99,n34->n24;n7->n41;n33->n12;n45->n24;n37->n18,0.542381,0.542381
